Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AdminMembers.csproj,File,AdminMembers.csproj,,,Microsoft.EntityFrameworkCore.InMemory 8.0.0,,,,,"Microsoft.EntityFrameworkCore.InMemory, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AdminMembers.csproj,File,AdminMembers.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.0,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AdminMembers.csproj,File,AdminMembers.csproj,,,Microsoft.EntityFrameworkCore.Tools 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Tools, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AdminMembers.csproj,File,AdminMembers.csproj,,,Azure.Identity 1.14.0,,,,,"Azure.Identity, 1.14.0  Recommendation:  This version takes a dependency on a deprecated version of MSAL .NET (Microsoft.Identity.Client). Remove Azure.Identity, and replace with new package Azure.Identity, 1.20.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AdminMembers.csproj,File,AdminMembers.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AdminMembers.csproj,File,Middleware\AuthenticationMiddleware.cs,59,32,M:System.TimeSpan.FromMinutes(System.Double),,,,,"cache.Set(cacheKey, cached, TimeSpan.FromMinutes(5));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AdminMembers.csproj,File,Controllers\SettingsController.cs,210,28,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var containerName = _configuration.GetValue<string>(""AzureStorageBlob:LogoContainerName"") ?? ""logos"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AdminMembers.csproj,File,Controllers\SettingsController.cs,129,28,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var containerName = _configuration.GetValue<string>(""AzureStorageBlob:LogoContainerName"") ?? ""logos"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AdminMembers.csproj,File,Controllers\SettingsController.cs,64,20,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var containerName = _configuration.GetValue<string>(""AzureStorageBlob:LogoContainerName"") ?? ""logos"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Members/Index_cshtml.g.cs,2140,12,T:System.Uri,,,,,"WriteAttributeValue("""", 16277,   #nullable restore  #line (301,73)-(301,99) ""C:\Users\goderist\source\repos\GildeVanDeStroppendragersNew\Pages\Members\Index.cshtml""  Uri.EscapeDataString(role)    #line default  #line hidden  #nullable disable              , 16277, 27, false);"
